video_id,title,channel_title,category_id,published_at,view_count,like_count,comment_count
KgpnfT5bgLY,Jana Nayagan – Thalapathy Kacheri Lyric Video| Thalapathy Vijay| H Vinoth| Anirudh| Pooja Hegde| KVN,T-Series,10,2025-11-08T12:33:03Z,12288855,1128269,67428
a6ExNjFOhv0,MASK - Trailer | Kavin | Andrea J | GV Prakash Kumar | Ruhani | Vikarnan A,T-Series Tamil,10,2025-11-09T08:37:00Z,4748219,54387,1003
5H9adnTlq8U,[HINDI] LCQ — CEGC 2025 BGMI Day 2 #cegc #BattleGroundsMobileIndia,Skyesports,20,2025-11-09T15:19:14Z,1730431,55264,59
vVDp1ulBKIk,Chikiri Chikiri Video Song | Peddi | Ram Charan | Janhvi | Buchi Babu Sana | AR Rahman|Mohit Chauhan,T-Series Telugu,10,2025-11-07T05:37:04Z,27745072,777406,25314
jsauQx_Fwrg,"The Family Man S3 - Official Trailer | Raj & DK | Manoj Bajpayee, Jaideep Ahlawat | Prime Video IN",Prime Video India,24,2025-11-07T07:35:06Z,13205416,269296,8398
ha5rXJLWJmk,Live Horror Game Granny #shortslive #granny #shorts #shortsfeed,ANZU SENPAI,20,2025-11-09T09:23:38Z,1199708,0,38
xjPoAxdhHQ4,#video | Bengal Me Bangla | #Shilpi Raj | बंगाल में बंगला | Ft. Parul Yadav | New Bhojpuri Song 2025,GMJ - Global Music Junction - Bhojpuri,10,2025-11-09T01:01:27Z,549588,1419,47
AuYmKbtnmEA,Michael | Official Trailer,Universal Pictures,24,2025-11-07T17:25:48Z,2004855,83553,3049
muuaUeV93Oc,FAKE GYANGAMING IS BACK LIVESTREAM,Gyan Gamingㅤ,20,2025-11-09T22:05:30Z,1021490,42355,52
8e2TxufX8u4,"Pritam, KK - Mat Aazma Re",Indie India,22,2025-11-08T06:30:07Z,1004130,2108,17
2W7z4SB8Vy8,skibidi toilet: emergence | official trailer,DaFuq!?Boom!,24,2025-11-09T03:06:13Z,1960259,131877,22241
9uU83thO7Mw,NZ vs WI | 3rd T20I | Highlights | West Indies Tour Of New Zealand 2025,Sony Sports Network,17,2025-11-09T05:07:18Z,706459,12390,307
UdAHSDxmfDs,"Dhivara [8K] Full Video Song | Baahubali (Telugu) | Prabhas,Tamannaah | M.M. Keeravaani|SS Rajamouli",Lahari Music,10,2025-11-08T04:45:27Z,1087802,9024,123
r4HusFmN4uw,120 Bahadur | Official Trailer | Farhan Akhtar | Raashii Khanna | 21st November,Excel Movies,1,2025-11-06T08:36:03Z,18886288,134335,8709
uskm6FYzG8M,Long Slide Game With Cow Elephant Gorilla Hippopotamus Tiger 3d Animal Game Funny 3d Animals,Flygame Animals,1,2025-11-09T05:16:22Z,1230379,8046,207
hm-2eWmlJYg,#Video | #Pramod Premi Yadav | बेबी लागेलू | #Goldi Yadav | Ft. #Sapna Chauhan | New Bhojpuri Song,Sur Music ,10,2025-11-09T01:06:00Z,372316,10977,436
VIEaEZqrC40,Kumki 2 Official Trailer | Prabhu Solomon | Mathi | NivasK Prasanna| Dr Jayantilal Gada | PenStudios,Junglee Music Tamil,10,2025-11-07T05:32:12Z,380979,9387,366
oM7ngZAY688,I FOUND THE *GHOST ID* of Free Fire 💀,SATVIK,20,2025-11-09T03:30:42Z,724461,21906,3189
uOSwNpXk-zE,Siti | Kallu New Song | Lyrical | Arvind Akela Kallu | Shilpi Raj | Bhojpuri Song | Bhojpuri Gana,Saregama Hum Bhojpuri,10,2025-11-09T01:30:59Z,522994,3063,127
5R3YF0fuZw4,The Family Man S3 Trailer & Michael Teaser Review | Yogi Bolta Hai,YOGI BOLTA HAI,24,2025-11-08T10:39:53Z,332981,13237,468
pOXQdwZUMXY,Platform 8 horror game live  with Ajay Khutail❤️ #shortslive #horrorgaming,Ajay Khutail,20,2025-11-09T17:28:31Z,970449,5040,3
V-1p5jsHdPU,Video | पलंगिया हिलावेवाला चाही | #Arvind Akela Kallu | #Shilpi Raj | New #Bhojpuri Song 2025,Mahadeva Official,10,2025-11-08T09:45:05Z,120638,741,8
AFddRNWxdIY,Jana Nayagan Trailer | Vijay | Pooja Hegde | H. Vinoth,Trailer Piercer ,1,2025-11-07T12:37:41Z,157148,3968,29
sXZuyau7w1U,LEGEND OR WHAT | RUSH GAMEPLAY IN ULTIMATE ROYALE | BGMI LIVE,LoLzZz Gaming,20,2025-11-09T20:22:26Z,556364,31338,30
Jc60rHslX2Q,Video | राजा जी के तुरल | Arvind Akela Kallu | Shilpi Raj | Raja Ji Ke Tural | New Bhojpuri Gana,Pudina Music,10,2025-11-08T02:00:18Z,292240,1071,18
yXG7MRxObs8,Jana Nayagan - Notion Trailer | Thalapathy Vijay | Pooja Hegde | Anirudh | Bobby Deol | H Vinoth,Pan India Trailers,1,2025-11-06T12:45:17Z,320236,8796,75
lNOZhxt_0ag,I Got ADOPTED by RICH FAMILY in Minecraft...,Junkeyy,20,2025-11-08T14:39:15Z,705969,11556,768
dG_303XRNcw,Arijit Singh - Apna Bana Le Lofi Mix | Varun Dhawan & Kriti Sanon | Sachin-Jigar | Bhediya,Soulful Arijit Singh Songs,10,2025-11-09T12:38:15Z,145942,376,3
P6lK2558y_E,கவின காலி பண்றதுக்கு பண்ன படம் ! - Nelson speech  | MASK Trailer Launch,Shruti TV,25,2025-11-09T15:26:57Z,24558,358,2
S_S_d686PdM,Granny and Grandpa Split the Village into Half..,Carry Depie,20,2025-11-08T09:00:55Z,1009180,11520,612
6leqOPv3UTM,#Video | शूटर पोसले बानी | #Tuntun Yadav & Goldi Yadav  Shooter Posale Bani  New Bhojpuri Song 2025,SKR Record,22,2025-11-08T13:21:55Z,122238,707,20
K77jUwxrVOo,Parasakthi - Trailer | Sivakarthikeyan | Sudha Kongara | G.V. Prakash | Ravi Mohan | Dawn Pictures,Flix Series,1,2025-11-08T13:37:13Z,72879,1221,28
8dpte6encp0,Giveaway Customs & Rank Push 🔥 Garena Free Fire #freefirelive,Badge 99,20,2025-11-09T15:55:11Z,1080887,30882,97
uTpQnKqK3Fs,#Video | मटन खाके | #Chandan Chanchal | Matan Khake | Ft. #Soumya Pandey New #Bhojpuri Song 2025,Rup Music,10,2025-11-07T07:17:01Z,382231,1905,37
GJKsRRX3v1Q,Baahubali - The Eternal War Part 1 Teaser (Hindi) | Prabhas | Ishan Shukla | SS Rajamouli | 2027,Baahubali Movie,1,2025-11-04T14:59:00Z,4416048,169616,6346
24camnz3DqI,Gulli Bulli Khooni Baba Aur Granny Part 13 | GULLI BULLI CARTOON | Horror Stories | MAKE JOKE KAMIL ,Make Joke Kamil,20,2025-11-09T01:30:07Z,264666,3697,161
iU55C5vx7VA,"Fortuner (Official Video) Gulshan Music,Jaat Nia,Ruchika Jangid | New Haryanvi Songs Haryanavi 2025",Sargam Digital ,22,2025-11-08T07:59:53Z,194861,1171,16
L90wPIpDTsY,"Avengers Doomsday Trailer, GTA VI Delayed Again, Spider-Man Noir & Brand New Day | Nerdy News 389",DesiNerd,24,2025-11-09T04:00:30Z,98241,6306,176
gjWpIOHI5zg,Franklin Saving His House From Zombie NPC In Indian Bike Driving 3D,NpsDude,20,2025-11-09T07:18:40Z,251095,952,19
C3S7BdWEEPA,"Solid Body Lofi Song - Slowed + Reverb Sheenam Katlic, Raju Punjabi, Haryanvi Song #lofi #3dsong",Anant Music,10,2025-11-08T05:14:00Z,707884,1867,28
jC6M3-6rhM0,"Kaantha - Official Trailer | Dulquer S, Samuthirakani, Bhagyashri B, Rana D | Selvamani S | Nov 14",Dharma Productions,1,2025-11-07T05:34:08Z,449409,10089,320
q823nSfc7Dw,GRANNY 1 KHELE 🔥 #shortsfeed #shortslive #chainedtogethergame #shorts #live #wormateio,VISHDEE is LIVE,20,2025-11-09T21:52:34Z,450996,7093,0
ClX_TZiBFiU,The Thaandavam Song Promo - Akhanda 2 Thaandavam | NBK | Boyapati Srinu | Thaman S,Aditya Music,10,2025-11-07T14:36:01Z,867089,37084,1072
m43HC9T9YM8,Mastiii 4 - Official Trailer| Riteish Deshmukh | Vivek Oberoi | Aftab Shivdasani | 21st Nov,Zee Studios,1,2025-11-04T06:40:28Z,11266902,166663,32121
Es_qFp_ZGfU,Dirt Lucky Block vs Rainbow Lucky Block in Minecraft..,Karry Kraft,20,2025-11-08T11:42:04Z,601398,6597,269
ojKMer087-Y,"Garmi Movie Song | ओढ़नी के कोर | Aashish Yadav, Srishti Bharti | गर्मी | Romantic Movie Song 2025",Viral Bhojpuri ,10,2025-11-08T07:41:56Z,150242,1720,40
JZzv8JdggSA,VIRUS-ΔX7 | Official Trailer | Hrithik Roshan | Amitabh Bachchan| New Movie Trailer |Trailers 2025,Phantom Pictures™,24,2025-11-08T11:35:42Z,111351,602,31
O5wfNsc1Kpk,NEW UPDATE ME YE KYA AA GAYA ? DESI GAMERS,Desi Gamers,20,2025-11-09T03:12:49Z,335131,22966,2148
fgUMNtCXquM,Mehrama - (Extended) Audio Lyrical | Love Aaj Kal | Kartik | Sara | Pritam | Darshan Raval | Antara,Sony Music India,10,2025-11-07T13:15:12Z,1054802,2891,48
csbXpuIMAJc,The Family Man Season 3 Trailer REVIEW | Deeksha Sharma,Filmi Indian,24,2025-11-07T11:28:35Z,252473,7990,184
